,latitude,longitude,timestamp,value,measurement,retrieved_at
0,51.5,4.5,2025-07-19T00:00:00Z,20.6,t_2m:C,2025-07-20T16:38:17Z
1,51.5,4.5,2025-07-19T01:00:00Z,19.4,t_2m:C,2025-07-20T16:38:17Z
2,51.5,4.5,2025-07-19T02:00:00Z,18.5,t_2m:C,2025-07-20T16:38:17Z
3,51.5,4.5,2025-07-19T03:00:00Z,17.7,t_2m:C,2025-07-20T16:38:17Z
4,51.5,4.5,2025-07-19T04:00:00Z,17.4,t_2m:C,2025-07-20T16:38:17Z
5,51.5,4.5,2025-07-19T05:00:00Z,18.2,t_2m:C,2025-07-20T16:38:17Z
6,51.5,4.5,2025-07-19T06:00:00Z,19.0,t_2m:C,2025-07-20T16:38:17Z
7,51.5,4.5,2025-07-19T07:00:00Z,21.4,t_2m:C,2025-07-20T16:38:17Z
8,51.5,4.5,2025-07-19T08:00:00Z,23.8,t_2m:C,2025-07-20T16:38:17Z
9,51.5,4.5,2025-07-19T09:00:00Z,26.2,t_2m:C,2025-07-20T16:38:17Z
10,51.5,4.5,2025-07-19T10:00:00Z,28.3,t_2m:C,2025-07-20T16:38:17Z
11,51.5,4.5,2025-07-19T11:00:00Z,29.5,t_2m:C,2025-07-20T16:38:17Z
12,51.5,4.5,2025-07-19T12:00:00Z,30.6,t_2m:C,2025-07-20T16:38:17Z
13,51.5,4.5,2025-07-19T13:00:00Z,31.3,t_2m:C,2025-07-20T16:38:17Z
14,51.5,4.5,2025-07-19T14:00:00Z,31.0,t_2m:C,2025-07-20T16:38:17Z
15,51.5,4.5,2025-07-19T15:00:00Z,29.0,t_2m:C,2025-07-20T16:38:17Z
16,51.5,4.5,2025-07-19T16:00:00Z,27.3,t_2m:C,2025-07-20T16:38:17Z
17,51.5,4.5,2025-07-19T17:00:00Z,26.6,t_2m:C,2025-07-20T16:38:17Z
18,51.5,4.5,2025-07-19T18:00:00Z,25.5,t_2m:C,2025-07-20T16:38:17Z
19,51.5,4.5,2025-07-19T19:00:00Z,23.0,t_2m:C,2025-07-20T16:38:17Z
20,51.5,4.5,2025-07-19T20:00:00Z,22.0,t_2m:C,2025-07-20T16:38:17Z
21,51.5,4.5,2025-07-19T21:00:00Z,20.8,t_2m:C,2025-07-20T16:38:17Z
22,51.5,4.5,2025-07-19T22:00:00Z,20.1,t_2m:C,2025-07-20T16:38:17Z
23,51.5,4.5,2025-07-19T23:00:00Z,19.4,t_2m:C,2025-07-20T16:38:17Z
24,51.5,4.5,2025-07-20T00:00:00Z,18.7,t_2m:C,2025-07-20T16:38:17Z
25,51.5,4.7,2025-07-19T00:00:00Z,20.3,t_2m:C,2025-07-20T16:38:17Z
26,51.5,4.7,2025-07-19T01:00:00Z,19.0,t_2m:C,2025-07-20T16:38:17Z
27,51.5,4.7,2025-07-19T02:00:00Z,18.1,t_2m:C,2025-07-20T16:38:17Z
28,51.5,4.7,2025-07-19T03:00:00Z,17.5,t_2m:C,2025-07-20T16:38:17Z
29,51.5,4.7,2025-07-19T04:00:00Z,17.1,t_2m:C,2025-07-20T16:38:17Z
30,51.5,4.7,2025-07-19T05:00:00Z,18.0,t_2m:C,2025-07-20T16:38:17Z
31,51.5,4.7,2025-07-19T06:00:00Z,18.9,t_2m:C,2025-07-20T16:38:17Z
32,51.5,4.7,2025-07-19T07:00:00Z,21.6,t_2m:C,2025-07-20T16:38:17Z
33,51.5,4.7,2025-07-19T08:00:00Z,23.7,t_2m:C,2025-07-20T16:38:17Z
34,51.5,4.7,2025-07-19T09:00:00Z,26.1,t_2m:C,2025-07-20T16:38:17Z
35,51.5,4.7,2025-07-19T10:00:00Z,28.2,t_2m:C,2025-07-20T16:38:17Z
36,51.5,4.7,2025-07-19T11:00:00Z,29.5,t_2m:C,2025-07-20T16:38:17Z
37,51.5,4.7,2025-07-19T12:00:00Z,30.5,t_2m:C,2025-07-20T16:38:17Z
38,51.5,4.7,2025-07-19T13:00:00Z,31.2,t_2m:C,2025-07-20T16:38:17Z
39,51.5,4.7,2025-07-19T14:00:00Z,31.8,t_2m:C,2025-07-20T16:38:17Z
40,51.5,4.7,2025-07-19T15:00:00Z,29.2,t_2m:C,2025-07-20T16:38:17Z
41,51.5,4.7,2025-07-19T16:00:00Z,27.4,t_2m:C,2025-07-20T16:38:17Z
42,51.5,4.7,2025-07-19T17:00:00Z,26.8,t_2m:C,2025-07-20T16:38:17Z
43,51.5,4.7,2025-07-19T18:00:00Z,26.0,t_2m:C,2025-07-20T16:38:17Z
44,51.5,4.7,2025-07-19T19:00:00Z,23.3,t_2m:C,2025-07-20T16:38:17Z
45,51.5,4.7,2025-07-19T20:00:00Z,23.0,t_2m:C,2025-07-20T16:38:17Z
46,51.5,4.7,2025-07-19T21:00:00Z,21.8,t_2m:C,2025-07-20T16:38:17Z
47,51.5,4.7,2025-07-19T22:00:00Z,20.9,t_2m:C,2025-07-20T16:38:17Z
48,51.5,4.7,2025-07-19T23:00:00Z,20.3,t_2m:C,2025-07-20T16:38:17Z
49,51.5,4.7,2025-07-20T00:00:00Z,19.4,t_2m:C,2025-07-20T16:38:17Z
50,51.5,4.9,2025-07-19T00:00:00Z,20.3,t_2m:C,2025-07-20T16:38:17Z
51,51.5,4.9,2025-07-19T01:00:00Z,18.8,t_2m:C,2025-07-20T16:38:17Z
52,51.5,4.9,2025-07-19T02:00:00Z,17.7,t_2m:C,2025-07-20T16:38:17Z
53,51.5,4.9,2025-07-19T03:00:00Z,17.3,t_2m:C,2025-07-20T16:38:17Z
54,51.5,4.9,2025-07-19T04:00:00Z,17.1,t_2m:C,2025-07-20T16:38:17Z
55,51.5,4.9,2025-07-19T05:00:00Z,18.0,t_2m:C,2025-07-20T16:38:17Z
56,51.5,4.9,2025-07-19T06:00:00Z,19.2,t_2m:C,2025-07-20T16:38:17Z
57,51.5,4.9,2025-07-19T07:00:00Z,21.9,t_2m:C,2025-07-20T16:38:17Z
58,51.5,4.9,2025-07-19T08:00:00Z,24.1,t_2m:C,2025-07-20T16:38:17Z
59,51.5,4.9,2025-07-19T09:00:00Z,26.2,t_2m:C,2025-07-20T16:38:17Z
60,51.5,4.9,2025-07-19T10:00:00Z,28.3,t_2m:C,2025-07-20T16:38:17Z
61,51.5,4.9,2025-07-19T11:00:00Z,29.6,t_2m:C,2025-07-20T16:38:17Z
62,51.5,4.9,2025-07-19T12:00:00Z,30.5,t_2m:C,2025-07-20T16:38:17Z
63,51.5,4.9,2025-07-19T13:00:00Z,31.0,t_2m:C,2025-07-20T16:38:17Z
64,51.5,4.9,2025-07-19T14:00:00Z,32.0,t_2m:C,2025-07-20T16:38:17Z
65,51.5,4.9,2025-07-19T15:00:00Z,29.4,t_2m:C,2025-07-20T16:38:17Z
66,51.5,4.9,2025-07-19T16:00:00Z,27.9,t_2m:C,2025-07-20T16:38:17Z
67,51.5,4.9,2025-07-19T17:00:00Z,27.0,t_2m:C,2025-07-20T16:38:17Z
68,51.5,4.9,2025-07-19T18:00:00Z,26.3,t_2m:C,2025-07-20T16:38:17Z
69,51.5,4.9,2025-07-19T19:00:00Z,23.0,t_2m:C,2025-07-20T16:38:17Z
70,51.5,4.9,2025-07-19T20:00:00Z,22.6,t_2m:C,2025-07-20T16:38:17Z
71,51.5,4.9,2025-07-19T21:00:00Z,21.9,t_2m:C,2025-07-20T16:38:17Z
