,latitude,longitude,timestamp,value,measurement,retrieved_at
0,51.5,4.5,2025-07-20T00:00:00Z,18.7,t_2m:C,2025-07-21T20:03:02Z
1,51.5,4.5,2025-07-20T01:00:00Z,18.6,t_2m:C,2025-07-21T20:03:02Z
2,51.5,4.5,2025-07-20T02:00:00Z,18.1,t_2m:C,2025-07-21T20:03:02Z
3,51.5,4.5,2025-07-20T03:00:00Z,18.1,t_2m:C,2025-07-21T20:03:02Z
4,51.5,4.5,2025-07-20T04:00:00Z,18.0,t_2m:C,2025-07-21T20:03:02Z
5,51.5,4.5,2025-07-20T05:00:00Z,18.4,t_2m:C,2025-07-21T20:03:02Z
6,51.5,4.5,2025-07-20T06:00:00Z,19.1,t_2m:C,2025-07-21T20:03:02Z
7,51.5,4.5,2025-07-20T07:00:00Z,20.0,t_2m:C,2025-07-21T20:03:02Z
8,51.5,4.5,2025-07-20T08:00:00Z,21.7,t_2m:C,2025-07-21T20:03:02Z
9,51.5,4.5,2025-07-20T09:00:00Z,22.8,t_2m:C,2025-07-21T20:03:02Z
10,51.5,4.5,2025-07-20T10:00:00Z,24.1,t_2m:C,2025-07-21T20:03:02Z
11,51.5,4.5,2025-07-20T11:00:00Z,25.3,t_2m:C,2025-07-21T20:03:02Z
12,51.5,4.5,2025-07-20T12:00:00Z,25.1,t_2m:C,2025-07-21T20:03:02Z
13,51.5,4.5,2025-07-20T13:00:00Z,21.4,t_2m:C,2025-07-21T20:03:02Z
14,51.5,4.5,2025-07-20T14:00:00Z,20.3,t_2m:C,2025-07-21T20:03:02Z
15,51.5,4.5,2025-07-20T15:00:00Z,19.6,t_2m:C,2025-07-21T20:03:02Z
16,51.5,4.5,2025-07-20T16:00:00Z,21.4,t_2m:C,2025-07-21T20:03:02Z
17,51.5,4.5,2025-07-20T17:00:00Z,21.1,t_2m:C,2025-07-21T20:03:02Z
18,51.5,4.5,2025-07-20T18:00:00Z,21.2,t_2m:C,2025-07-21T20:03:02Z
19,51.5,4.5,2025-07-20T19:00:00Z,20.0,t_2m:C,2025-07-21T20:03:02Z
20,51.5,4.5,2025-07-20T20:00:00Z,18.4,t_2m:C,2025-07-21T20:03:02Z
21,51.5,4.5,2025-07-20T21:00:00Z,18.5,t_2m:C,2025-07-21T20:03:02Z
22,51.5,4.5,2025-07-20T22:00:00Z,17.3,t_2m:C,2025-07-21T20:03:02Z
23,51.5,4.5,2025-07-20T23:00:00Z,16.7,t_2m:C,2025-07-21T20:03:02Z
24,51.5,4.5,2025-07-21T00:00:00Z,16.2,t_2m:C,2025-07-21T20:03:02Z
25,51.5,4.7,2025-07-20T00:00:00Z,19.4,t_2m:C,2025-07-21T20:03:02Z
26,51.5,4.7,2025-07-20T01:00:00Z,18.9,t_2m:C,2025-07-21T20:03:02Z
27,51.5,4.7,2025-07-20T02:00:00Z,18.5,t_2m:C,2025-07-21T20:03:02Z
28,51.5,4.7,2025-07-20T03:00:00Z,18.2,t_2m:C,2025-07-21T20:03:02Z
29,51.5,4.7,2025-07-20T04:00:00Z,18.0,t_2m:C,2025-07-21T20:03:02Z
30,51.5,4.7,2025-07-20T05:00:00Z,18.4,t_2m:C,2025-07-21T20:03:02Z
31,51.5,4.7,2025-07-20T06:00:00Z,19.2,t_2m:C,2025-07-21T20:03:02Z
32,51.5,4.7,2025-07-20T07:00:00Z,20.0,t_2m:C,2025-07-21T20:03:02Z
33,51.5,4.7,2025-07-20T08:00:00Z,22.0,t_2m:C,2025-07-21T20:03:02Z
34,51.5,4.7,2025-07-20T09:00:00Z,23.1,t_2m:C,2025-07-21T20:03:02Z
35,51.5,4.7,2025-07-20T10:00:00Z,24.6,t_2m:C,2025-07-21T20:03:02Z
36,51.5,4.7,2025-07-20T11:00:00Z,25.8,t_2m:C,2025-07-21T20:03:02Z
37,51.5,4.7,2025-07-20T12:00:00Z,26.3,t_2m:C,2025-07-21T20:03:02Z
38,51.5,4.7,2025-07-20T13:00:00Z,21.6,t_2m:C,2025-07-21T20:03:02Z
39,51.5,4.7,2025-07-20T14:00:00Z,21.2,t_2m:C,2025-07-21T20:03:02Z
40,51.5,4.7,2025-07-20T15:00:00Z,19.4,t_2m:C,2025-07-21T20:03:02Z
41,51.5,4.7,2025-07-20T16:00:00Z,21.1,t_2m:C,2025-07-21T20:03:02Z
